City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
334,Jacareacanga,BR,-6.2222,-57.7528,94.75,27,100,4.36,overcast clouds
335,Port Hardy,CA,50.6996,-127.4199,57.38,94,90,2.3,light rain
336,Nantucket,US,41.2835,-70.0995,83.97,83,75,9.22,haze
337,Cabedelo,BR,-6.9811,-34.8339,83.07,69,1,15.82,clear sky
338,Iki-Burul,RU,45.8208,44.6472,89.94,28,97,11.59,overcast clouds
339,Khatanga,RU,71.9667,102.5,62.94,61,64,11.23,broken clouds
340,Ahuimanu,US,21.4447,-157.8378,78.51,75,40,10.36,scattered clouds
341,Shenzhen,CN,22.5455,114.0683,88.21,93,100,1.01,overcast clouds
342,Viedma,AR,-40.8135,-62.9967,47.28,42,27,25.37,scattered clouds
343,Evensk,RU,61.95,159.2333,49.46,97,100,5.68,light rain
344,Galle,LK,6.0367,80.217,80.17,86,68,12.01,broken clouds
345,Cherskiy,RU,68.75,161.3,36.93,82,0,9.28,clear sky
346,Luancheng,CN,37.8792,114.6517,82.56,75,100,1.61,overcast clouds
347,Labuhan,ID,-6.8844,112.2051,75.07,77,1,8.95,clear sky
348,Wattegama,LK,6.7989,81.4808,81.52,71,97,7.34,overcast clouds
349,Touros,BR,-5.1989,-35.4608,83.3,60,21,18.54,few clouds
350,Urumqi,CN,43.801,87.6005,85.15,22,0,4.47,clear sky
351,Birjand,IR,32.8663,59.2211,90.07,14,37,28.77,sand
352,Ulety,RU,51.3572,112.4849,56.53,89,85,1.63,overcast clouds
353,Kazerun,IR,29.6195,51.6541,100.49,11,1,20.22,clear sky
354,Galesong,ID,-5.3166,119.3661,69.82,67,20,7.92,few clouds
355,Lazaro Cardenas,MX,17.9583,-102.2,84.94,73,84,2.01,broken clouds
356,Pangkalanbuun,ID,-2.6833,111.6167,74.17,90,1,3.2,clear sky
357,Lubango,AO,-14.9172,13.4925,71.91,21,2,3.06,clear sky
358,Isangel,VU,-19.55,169.2667,72.25,73,78,16.44,broken clouds
359,Gat,IL,31.61,34.7642,89.4,61,0,12.28,clear sky
360,Domoni,KM,-12.2569,44.5319,74.3,72,20,12.82,few clouds
361,Baijiantan,CN,45.6333,85.1833,93.87,19,16,6.31,few clouds
362,Englewood,US,39.6478,-104.9878,86.16,46,20,1.01,few clouds
363,Sangar,RU,63.9242,127.4739,66.58,68,24,6.42,few clouds
364,Paracatu,BR,-17.2222,-46.8747,80.1,26,3,6.51,clear sky
365,Bonavista,CA,48.6499,-53.1147,66.2,83,53,10.56,broken clouds
366,Vallenar,CL,-28.5708,-70.7581,63.9,32,0,3.69,clear sky
367,Koson,UZ,39.0375,65.585,100.72,18,0,23.6,clear sky
368,Caldono,CO,2.7974,-76.4832,72.39,60,99,3.98,overcast clouds
369,Atar,MR,20.5169,-13.0499,114.98,5,68,6.78,broken clouds
370,Asyut,EG,27.181,31.1837,97.43,17,0,11.05,clear sky
371,Tual,ID,-5.6667,132.75,79.95,74,74,20.22,broken clouds
372,Kutum,SD,14.2,24.6667,83.86,44,82,8.52,broken clouds
373,Vestmanna,FO,62.1564,-7.1664,50.92,100,90,6.91,overcast clouds
374,Altamira,BR,-3.2033,-52.2064,89.69,55,40,6.91,scattered clouds
375,Tokmak,UA,47.2514,35.7058,81.14,49,25,7.74,scattered clouds
376,Grand-Santi,GF,4.25,-54.3833,90.21,49,53,4.0,broken clouds
377,Prince Rupert,CA,54.3161,-130.3201,57.29,94,90,6.91,moderate rain
378,Mimongo,GA,-1.6195,11.6068,84.18,43,85,5.17,overcast clouds
